year,month,installed capacity(kW),Power generation(kW-h),Average unit capacity per day
2016,3,651.42,"43,362",2.15
2016,3,40.25,"2,407",1.93
2016,3,91.8,"6,147",2.16
2016,3,115.8,"6,962",1.94
2016,3,41.9,"3,070",2.36
2016,3,2123.04,"162,774",2.47
2016,3,6485.94,"540,858",2.69
2016,3,91.125,"7,477",2.65
2016,3,60,"3,241",1.74
2016,3,4636.8,"466,168",3.24
2016,3,1627.65,"152,340",3.02
2016,3,60.03,"5,917",3.18
2016,3,1458.24,"155,039",3.43
2016,3,70.61,"6,013",2.75
2016,3,154.56,"10,787",2.25
2016,3,528,"42,465",2.59
2016,4,651.42,"54,501",2.7
2016,4,40.25,"2,895",2.32
2016,4,91.8,"7,967",2.8
2016,4,115.8,"9,512",2.65
2016,4,41.9,"3,809",2.93
2016,4,2123.04,"196,821",2.99
2016,4,6485.94,"638,786",3.18
2016,4,91.125,"8,866",3.14
2016,4,60,"4,249",2.28
2016,4,4636.8,"573,206",3.99
2016,4,1627.65,"205,959",4.08
2016,4,60.03,"7,396",3.97
2016,4,1458.24,"174,955",3.87
2016,4,70.61,"7,553",3.45
2016,4,154.56,"13,850",2.89
2016,4,528,"41,406",2.53
2016,5,651.42,"72,106",3.57
2016,5,40.25,"3,948",3.16
2016,5,91.8,"10,158",3.57
2016,5,115.8,"10,503",2.93
2016,5,41.9,"4,283",3.3
2016,5,2123.04,"255,847",3.89
2016,5,6485.94,"809,137",4.02
2016,5,91.125,"10,419",3.69
2016,5,60,"5,209",2.8
2016,5,4636.8,"629,290",4.38
2016,5,1627.65,"224,320",4.45
2016,5,60.03,"7,996",4.3
2016,5,1458.24,"193,842",4.29
2016,5,70.61,"9,012",4.12
2016,5,154.56,"15,294",3.19
2016,5,528,"54,701",3.34
2016,6,651.42,"82,819",4.1
2016,6,40.25,"4,679",3.75
2016,6,91.8,"10,465",3.68
2016,6,115.8,"11,524",3.21
2016,6,41.9,"4,519",3.48
2016,6,2123.04,"256,324",3.89
2016,6,6485.94,"820,239",4.08
2016,6,91.125,"10,174",3.6
2016,6,60,"4,989",2.68
2016,6,4636.8,"613,456",4.27
2016,6,1627.65,"206,572",4.09
2016,6,60.03,"7,174",3.86
2016,6,1458.24,"190,836",4.22
2016,6,70.61,"9,000",4.11
2016,6,154.56,"15,689",3.27
2016,6,528,"53,452",3.27
2016,7,651.42,"101,279",5.02
